id,gtfs_stop_id,name,lat,lon,type,type_plk,type_topologiczny,degree,voivodeship,plk_lines,daily_trains,daily_trains_scope,has_platform,platform_manager,plk_wyrozniki,platforms,tracks,platform_len_max_m,platforms_est,tracks_est,selection_rules,coord_source,coord_confidence,type_source,platforms_source,platforms_confidence
BAL,77537,Balin,50.17897,19.383175,przystanek osobowy publiczny,PO,graniczna,1,poza woj. (punkt graniczny),133,3,"tylko Koleje Śląskie, wtorek",TAK,,PO,2,2,200.0,1,2,R4_graniczna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
BIG,76109,Bielsko-Biała Gł.,49.83071,19.045582,stacja,ST,węzeł,3,śląskie,117;139;190,44,"tylko Koleje Śląskie, wtorek",TAK,,ST,4,6,311.0,2,3,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
BOH,179223,Bohumin,49.900745,18.359324,stacja,ST,graniczna,1,poza woj. (punkt graniczny),479;593,10,"tylko Koleje Śląskie, wtorek",NIE,,ST,1,3,,1,3,R4_graniczna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,szacowana (spoza sieci PLK),derived
BYT,72306,Bytom,50.34315,18.915182,stacja,ST,węzeł,3,śląskie,131;132,106,"tylko Koleje Śląskie, wtorek",TAK,,ST,3,6,400.0,2,4,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
CHA,67900,Chałupki,49.925488,18.311747,stacja,ST,przelotowa,2,śląskie,151;158;479;592;679,46,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,415.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
CHB,73106,Chorzów Batory,50.27835,18.944881,stacja,ST,węzeł,3,śląskie,131;137;164;651;708;713;895,148,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,239.0,3,4,R1_wezel;R3_zwrotna;R5_miasto,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
CHY,75796,Chybie,49.893017,18.811628,stacja,ST,węzeł,4,śląskie,150;157;93,10,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,320.0,1,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
CHM,75820,Chybie Mnich,49.88754,18.820902,przystanek osobowy publiczny,PO,węzeł,3,śląskie,157,20,"tylko Koleje Śląskie, wtorek",TAK,,PO,1,1,150.0,2,3,R1_wezel,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
CIE,75655,Cieszyn,49.750988,18.637894,stacja,ST,przelotowa,2,śląskie,190;480;695;90,36,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,3,170.0,2,3,R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
CZ2,76000,Czechowice-Dziedzice,49.915104,19.00499,stacja,ST,węzeł,4,śląskie,139;150;693;790;93,74,"tylko Koleje Śląskie, wtorek",TAK,,ST,2,4,400.0,2,4,R1_wezel;R3_zwrotna,gtfs_koleje_slaskie/stops.txt,measured,PLK_zal_2.6,PLK_zal_2.18,measured
